count,yr,observerAge,lineCov
2,2011,63,1
5,2010,64,0.9875
12,2002,30,0.991666666666667
12,2006,60,0.9875
5,2008,62,0.9875
12,2012,64,1
5,2000,28,0.991666666666667
8,2005,59,0.9875
9,2007,61,0.9875
14,2004,58,1
10,1999,27,0.991666666666667
9,2001,29,0.991666666666667
5,2009,63,0.9875
